#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch,	4	Tanner bycatch 5 fixed gear																														
#	Surveys:	6	NMFS	Trawl	Survey,	7	BSFRF	Survey																																		
#========================================================================================================																																										
1975	# Start	year																																							
2018	# End	year																																							
7	# Number of seasons																																						
6	# Number of fleets (fishing fleets and surveys)																															
2	# Number of sexes																																						
2	# Number of shell condition types																																				
1	# Number of maturity types																																					
20	# Number of size-classes in the	model																																			
7	# Season recruitment occurs																																						
7	# Season molting and growth occurs																																				
6	# Season to calculate SSB																																					
1	# Season for N output																																					
# maximum size-class (males then females)
20 16
#	size_breaks (a	vector	giving	the	break	points	between	size	intervals,	dim=nclass+1)	
65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165																						
#	Natural	mortality	per	season	input	type	(1	=	vector	by	season,	2	=	matrix	by	season/year)																										
2
#	Proportion of the total	natural	mortality to be	applied	each	season	
0.0000  0.2329	0.0000	0.2671	0.000	0.194   0.306   #1975
0.0000  0.2795	0.0000	0.2205	0.000	0.194   0.306	#1976
0.0000  0.3233	0.0000  0.1767	0.000	0.194   0.306	#1977
0.0000  0.2548	0.0000  0.2452	0.000	0.194   0.306	#1978
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1979
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1980
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1981
0.0000  0.2356	0.0000	0.2644	0.000	0.194   0.306	#1982
0.0000  0.2400	0.0000  0.2600	0.000	0.194   0.306	#1983
0.0000  0.2712	0.0000	0.2288	0.000	0.194   0.306	#1984
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1985
0.0000  0.2521	0.0000	0.2479	0.000	0.194   0.306	#1986
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1987
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1988
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1989
0.0000  0.3507	0.0000	0.1493	0.000	0.194   0.306	#1990
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1991
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1992
0.0000  0.3452	0.0000	0.1548	0.000	0.194   0.306	#1993
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1994
0.0000  0.3400	0.0000	0.1600	0.000	0.194   0.306	#1995
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1996
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1997
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1998
0.0000  0.3000  0.0000  0.2000	0.000	0.194   0.306	#1999
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2000
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2001
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2002
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2003
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2004
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2005
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2006
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2007
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2008
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2009
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2010
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2011
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2012
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2013
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2014
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2015
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2016
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2017
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2018

# Fishing fleet	names (delimited with: no spaces in names)																																
Pot_Fishery Trawl_Bycatch Bairdi_Fishery_Bycatch Fixed_Gear																																										
# Survey names (delimited with: no spaces in names)
NMFS_Trawl BSFRF
# Are the seasons instantaneous (0) or continuous (1)
1 1 1 1 1 1 1
#1 1 1 1 1 1 1
# Number of catch data frames																																					
7																																										
# Number of rows in each data frame
44	29	29	43	25	25      23
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	CATCH	DATA																																								
##	Type of	catch: 1 = retained, 2	= discard, 0 =	total																													
##	Units of catch:	1 = biomass, 2 = numbers																																	
##	for BBRKC Units	are in 1000 mt	for landed & discards.																															
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	Male	retained	pot	fishery	(tonnes)												
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
2017	3	1	2	0	0	0	50	0.0005	0.003	0.0137	0.0526	0.0983	0.1093	0.0806	0.0333	0.0371	0.0497	0.0747	0.0959	0.0991	0.0937	0.0655	0.0929
2018	3	1	2	0	0	0	50	0.0003	0.0046	0.0171	0.0233	0.0221	0.0338	0.0542	0.0839	0.0766	0.0658	0.0674	0.1078	0.1178	0.1126	0.0839	0.1288

#Trawl	bycatch	male																										
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec
1976	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0130	0.0087	0.0043	0.0216	0.0087	0.0260	0.0390	0.0433	0.0649	0.0996	0.0866	0.0736	0.0909	0.0649	0.1299
1977	5	2	1	0.0	0	0	50	0.0036	0.0009	0.0009	0.0009	0.0026	0.0035	0.0079	0.0097	0.0317	0.0485	0.0599	0.0996	0.1084	0.1251	0.1040	0.1057	0.1004	0.0634	0.0326	0.0441
1978	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0012	0.0025	0.0149	0.0274	0.0511	0.0872	0.1245	0.1158	0.0797	0.0984	0.0672	0.1880
1979	5	2	1	0.0	0	0	50	0.0178	0.0013	0.0025	0.0013	0.0025	0.0076	0.0038	0.0025	0.0013	0.0063	0.0051	0.0114	0.0228	0.0556	0.0582	0.0708	0.0898	0.0860	0.0809	0.1858
1980	5	2	1	0.0	0	0	50	0.0531	0.0207	0.0096	0.0135	0.0142	0.0163	0.0274	0.0263	0.0380	0.0375	0.0422	0.0394	0.0368	0.0377	0.0313	0.0231	0.0207	0.0142	0.0131	0.0265
1981	5	2	1	0.0	0	0	50	0.0262	0.0028	0.0045	0.0066	0.0112	0.0175	0.0279	0.0349	0.0386	0.0504	0.0434	0.0480	0.0287	0.0334	0.0241	0.0212	0.0112	0.0064	0.0051	0.0087
1982	5	2	1	0.0	0	0	50	0.0701	0.0268	0.0247	0.0326	0.0356	0.0443	0.0409	0.0403	0.0401	0.0475	0.0426	0.0479	0.0405	0.0326	0.0218	0.0153	0.0084	0.0052	0.0038	0.0099
1983	5	2	1	0.0	0	0	50	0.0231	0.0214	0.0336	0.0344	0.0311	0.0319	0.0377	0.0445	0.0473	0.0471	0.0457	0.0437	0.0409	0.0414	0.0371	0.0283	0.0204	0.0129	0.0096	0.0180
1984	5	2	1	0.0	0	0	50	0.0366	0.0156	0.0147	0.0199	0.0270	0.0342	0.0399	0.0407	0.0431	0.0476	0.0511	0.0596	0.0594	0.0563	0.0473	0.0355	0.0264	0.0170	0.0109	0.0146
1985	5	2	1	0.0	0	0	50	0.0051	0.0014	0.0034	0.0059	0.0100	0.0164	0.0256	0.0396	0.0357	0.0446	0.0538	0.0636	0.0843	0.0862	0.0883	0.0843	0.0638	0.0455	0.0299	0.0578
1986	5	2	1	0.0	0	0	50	0.0038	0.0019	0.0085	0.0019	0.0056	0.0136	0.0193	0.0357	0.0160	0.0249	0.0221	0.0320	0.0710	0.0555	0.0527	0.0635	0.0456	0.0362	0.0259	0.0282
1987	5	2	1	0.0	0	0	49.9	0.0020	0.0000	0.0010	0.0020	0.0050	0.0080	0.0190	0.0271	0.0170	0.0220	0.0441	0.0491	0.0401	0.0581	0.0852	0.0812	0.0671	0.0611	0.0511	0.0842
1988	5	2	1	0.0	0	0	31.55	0.0048	0.0048	0.0063	0.0016	0.0032	0.0000	0.0095	0.0175	0.0127	0.0397	0.0524	0.0540	0.0571	0.0635	0.0651	0.0889	0.0794	0.0587	0.0349	0.0397
1989	5	2	1	0.0	0	0	50	0.0047	0.0026	0.0019	0.0006	0.0019	0.0019	0.0045	0.0047	0.0097	0.0142	0.0237	0.0379	0.0439	0.0534	0.0710	0.0809	0.0798	0.0783	0.0678	0.0897
1990	5	2	1	0.0	0	0	50	0.0051	0.0041	0.0071	0.0020	0.0081	0.0071	0.0234	0.0142	0.0244	0.0264	0.0224	0.0305	0.0325	0.0508	0.0843	0.0843	0.0772	0.0681	0.0376	0.0742
1991	5	2	1	0.0	0	0	16.3	0.0036	0.0072	0.0036	0.0072	0.0181	0.0144	0.0144	0.0181	0.0361	0.0253	0.0361	0.0325	0.0397	0.0217	0.0289	0.0722	0.0505	0.0578	0.0650	0.1588
1992	5	2	1	0.0	0	0	22	0.0210	0.0210	0.0180	0.0000	0.0060	0.0060	0.0030	0.0000	0.0060	0.0120	0.0240	0.0210	0.0360	0.0390	0.0390	0.0450	0.0240	0.0210	0.0030	0.0330
1994	5	2	1	0.0	0	0	28.6	0.0000	0.0000	0.0035	0.0070	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0018	0.0088	0.0158	0.0210	0.0473	0.0438	0.0578	0.0841	0.2785
1995	5	2	1	0.0	0	0	8	0.0067	0.0267	0.0133	0.0067	0.0067	0.0067	0.0000	0.0133	0.0067	0.0200	0.0000	0.0133	0.0200	0.0133	0.0400	0.0667	0.1267	0.0867	0.0467	0.2467
1996	5	2	1	0.0	0	0	50	0.0000	0.0008	0.0000	0.0016	0.0049	0.0114	0.0147	0.0188	0.0294	0.0343	0.0474	0.0662	0.0466	0.0686	0.0392	0.0645	0.0425	0.0564	0.0417	0.1266
1997	5	2	1	0.0	0	0	17.45	0.0000	0.0000	0.0000	0.0000	0.0029	0.0029	0.0029	0.0088	0.0088	0.0206	0.0206	0.0265	0.0235	0.0176	0.0500	0.0647	0.0324	0.0382	0.0382	0.1559
1998	5	2	1	0.0	0	0	50	0.0007	0.0007	0.0007	0.0000	0.0000	0.0000	0.0035	0.0028	0.0056	0.0133	0.0280	0.0314	0.0566	0.0475	0.0580	0.0419	0.0419	0.0475	0.0405	0.1097
1999	5	2	1	0.0	0	0	32.15	0.0016	0.0016	0.0000	0.0016	0.0031	0.0000	0.0063	0.0031	0.0079	0.0126	0.0142	0.0409	0.0504	0.0756	0.1071	0.1008	0.0913	0.0709	0.0661	0.0945
2000	5	2	1	0.0	0	0	36.7	0.0000	0.0000	0.0014	0.0014	0.0014	0.0068	0.0095	0.0286	0.0368	0.0327	0.0354	0.0313	0.0422	0.0463	0.0354	0.0422	0.0436	0.0463	0.0518	0.2262
2001	5	2	1	0.0	0	0	40.1	0.0000	0.0000	0.0050	0.0025	0.0100	0.0339	0.0226	0.0263	0.0402	0.0376	0.0427	0.0351	0.0351	0.0251	0.0351	0.0226	0.0477	0.0351	0.0527	0.1041
2002	5	2	1	0.0	0	0	50	0.0009	0.0009	0.0009	0.0009	0.0018	0.0026	0.0061	0.0044	0.0061	0.0105	0.0219	0.0193	0.0280	0.0368	0.0464	0.0455	0.0517	0.0569	0.0412	0.1322
2003	5	2	1	0.0	0	0	26.25	0.0019	0.0039	0.0058	0.0077	0.0193	0.0097	0.0154	0.0232	0.0251	0.0174	0.0135	0.0193	0.0309	0.0347	0.0425	0.0521	0.0463	0.0483	0.0521	0.1216
2004	5	2	1	0.0	0	0	33.3	0.0015	0.0000	0.0000	0.0015	0.0015	0.0045	0.0060	0.0166	0.0211	0.0166	0.0302	0.0392	0.0407	0.0377	0.0347	0.0407	0.0422	0.0392	0.0347	0.1448
2005	5	2	1	0.0	0	0	50	0.0029	0.0038	0.0019	0.0086	0.0077	0.0134	0.0211	0.0154	0.0125	0.0230	0.0259	0.0393	0.0509	0.0480	0.0422	0.0413	0.0461	0.0480	0.0403	0.0883
2006	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0000	0.0000	0.0017	0.0025	0.0025	0.0127	0.0110	0.0391	0.0365	0.0425	0.0484	0.0467	0.0688	0.0697	0.0688	0.0671	0.0586	0.1393
2007	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0000	0.0016	0.0024	0.0032	0.0048	0.0112	0.0128	0.0136	0.0233	0.0217	0.0289	0.0393	0.0457	0.0401	0.0393	0.0425	0.0586	0.1252
2008	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0006	0.0000	0.0025	0.0025	0.0019	0.0025	0.0131	0.0255	0.0255	0.0597	0.0622	0.0566	0.0715	0.0466	0.0646	0.0547	0.0541	0.1753
2009	5	2	1	0.0	0	0	50	0.0000	0.0000	0.0000	0.0000	0.0008	0.0025	0.0025	0.0033	0.0066	0.0108	0.0116	0.0298	0.0298	0.0431	0.0547	0.0514	0.0671	0.0497	0.0530	0.1740
2010	5	2	1	0.0	0	0	45.95	0.0000	0.0000	0.0022	0.0022	0.0022	0.0054	0.0033	0.0120	0.0185	0.0174	0.0196	0.0348	0.0490	0.0501	0.0566	0.0479	0.0359	0.0337	0.0370	0.0860
2011	5	2	1	0.0	0	0	22.3	0.0000	0.0000	0.0022	0.0067	0.0067	0.0022	0.0022	0.0067	0.0135	0.0090	0.0067	0.0067	0.0224	0.0269	0.0493	0.0650	0.0605	0.0628	0.0448	0.1188
2012	5	2	1	0.0	0	0	14.15	0.0000	0.0035	0.0000	0.0000	0.0000	0.0035	0.0071	0.0071	0.0035	0.0071	0.0141	0.0106	0.0283	0.0353	0.0601	0.0318	0.0495	0.0530	0.0530	0.1696
2013	5	2	1	0.0	0	0	24.2	0.0000	0.0021	0.0000	0.0021	0.0021	0.0000	0.0000	0.0021	0.0041	0.0083	0.0103	0.0227	0.0455	0.0393	0.0517	0.0517	0.0434	0.0517	0.0393	0.2624
2014	5	2	1	0.0	0	0	13.7	0.0000	0.0036	0.0000	0.0036	0.0109	0.0036	0.0000	0.0219	0.0036	0.0109	0.0182	0.0401	0.0292	0.0365	0.0693	0.0876	0.0401	0.0328	0.0438	0.1971
2015	5	2	1	0.0	0	0	20.8	0.0000	0.0000	0.0072	0.0072	0.0072	0.0048	0.0120	0.0144	0.0120	0.0144	0.0240	0.0313	0.0313	0.0433	0.0337	0.0409	0.0505	0.0337	0.0409	0.0986
2016	5	2	1	0.0	0	0	31.85	0.0000	0.0016	0.0031	0.0047	0.0031	0.0016	0.0126	0.0094	0.0157	0.0063	0.0126	0.0345	0.0251	0.0502	0.0518	0.0581	0.0644	0.0801	0.0754	0.2041
2017	5	2	1	0.0	0	0	39.2	0.0000	0.0000	0.0000	0.0000	0.0051	0.0051	0.0051	0.0064	0.0089	0.0064	0.0115	0.0153	0.0242	0.0319	0.0421	0.0523	0.0880	0.0727	0.0957	0.3074
2018	5	2	1	0.0	0	0	45.4	0.0011	0.0000	0.0022	0.0000	0.0022	0.0044	0.0110	0.0044	0.0198	0.0198	0.0396	0.0441	0.0441	0.0562	0.0452	0.0374	0.0430	0.0407	0.0407	0.1597

#Trawl	bycatch	female																								
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec
1976	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0130	0.0087	0.0216	0.0260	0.0303	0.0563	0.0130	0.0260	0.0043	0.0260
1977	5	2	2	0	0	0	0	0.0000	0.0009	0.0009	0.0000	0.0000	0.0009	0.0026	0.0053	0.0070	0.0088	0.0062	0.0053	0.0044	0.0026	0.0009	0.0009
1978	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0075	0.0050	0.0075	0.0262	0.0324	0.0610
1979	5	2	2	0	0	0	0	0.0130	0.0013	0.0000	0.0000	0.0063	0.0038	0.0152	0.0468	0.0354	0.0392	0.0544	0.0215	0.0164	0.0177	0.0013	0.0139
1980	5	2	2	0	0	0	0	0.0433	0.0160	0.0096	0.0189	0.0281	0.0409	0.0497	0.0472	0.0489	0.0525	0.0362	0.0265	0.0134	0.0081	0.0039	0.0040
1981	5	2	2	0	0	0	0	0.0612	0.0245	0.0245	0.0437	0.0540	0.0608	0.0525	0.0425	0.0315	0.0383	0.0312	0.0267	0.0240	0.0158	0.0093	0.0086
1982	5	2	2	0	0	0	0	0.0631	0.0235	0.0237	0.0285	0.0379	0.0413	0.0332	0.0246	0.0190	0.0177	0.0156	0.0144	0.0104	0.0080	0.0034	0.0049
1983	5	2	2	0	0	0	0	0.0281	0.0233	0.0351	0.0363	0.0358	0.0407	0.0392	0.0316	0.0222	0.0154	0.0100	0.0087	0.0065	0.0042	0.0030	0.0041
1984	5	2	2	0	0	0	0	0.0400	0.0156	0.0155	0.0211	0.0298	0.0344	0.0399	0.0359	0.0287	0.0151	0.0085	0.0060	0.0042	0.0031	0.0019	0.0029
1985	5	2	2	0	0	0	0	0.0034	0.0013	0.0024	0.0046	0.0096	0.0171	0.0195	0.0193	0.0163	0.0128	0.0119	0.0111	0.0108	0.0057	0.0025	0.0066
1986	5	2	2	0	0	0	0	0.0038	0.0014	0.0038	0.0000	0.0038	0.0099	0.0329	0.0762	0.0630	0.0470	0.0494	0.0466	0.0428	0.0202	0.0085	0.0268
1987	5	2	2	0	0	0	0	0.0020	0.0020	0.0030	0.0100	0.0180	0.0311	0.0331	0.0401	0.0220	0.0311	0.0160	0.0391	0.0080	0.0080	0.0030	0.0090
1988	5	2	2	0	0	0	0	0.0079	0.0143	0.0032	0.0079	0.0063	0.0127	0.0222	0.0333	0.0476	0.0524	0.0397	0.0222	0.0175	0.0079	0.0048	0.0063
1989	5	2	2	0	0	0	0	0.0028	0.0024	0.0015	0.0022	0.0065	0.0108	0.0204	0.0430	0.0504	0.0480	0.0435	0.0295	0.0256	0.0170	0.0065	0.0168
1990	5	2	2	0	0	0	0	0.0020	0.0041	0.0071	0.0081	0.0112	0.0112	0.0183	0.0203	0.0366	0.0305	0.0335	0.0325	0.0234	0.0173	0.0152	0.0447
1991	5	2	2	0	0	0	0	0.0000	0.0036	0.0108	0.0036	0.0000	0.0072	0.0036	0.0072	0.0289	0.0181	0.0181	0.0289	0.0181	0.0325	0.0036	0.1047
1992	5	2	2	0	0	0	0	0.0030	0.0000	0.0000	0.0030	0.0420	0.0631	0.0480	0.0480	0.0450	0.0480	0.0631	0.0691	0.0480	0.0450	0.0390	0.0571
1994	5	2	2	0	0	0	0	0.0000	0.0035	0.0088	0.0280	0.0333	0.0438	0.0298	0.0665	0.0455	0.0175	0.0140	0.0123	0.0140	0.0210	0.0210	0.0683
1995	5	2	2	0	0	0	0	0.0467	0.0000	0.0000	0.0200	0.0067	0.0200	0.0333	0.0133	0.0200	0.0000	0.0200	0.0000	0.0067	0.0133	0.0000	0.0333
1996	5	2	2	0	0	0	0	0.0000	0.0000	0.0008	0.0090	0.0204	0.0335	0.0147	0.0163	0.0188	0.0253	0.0253	0.0188	0.0237	0.0212	0.0139	0.0425
1997	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0265	0.0382	0.0676	0.0941	0.0471	0.0412	0.0559	0.0294	0.0147	0.0676
1998	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0007	0.0014	0.0042	0.0182	0.0503	0.0545	0.0440	0.0391	0.0321	0.0468	0.0370	0.0398	0.1013
1999	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0047	0.0047	0.0079	0.0205	0.0252	0.0220	0.0346	0.0236	0.0299	0.0756
2000	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0027	0.0041	0.0082	0.0150	0.0191	0.0082	0.0163	0.0313	0.0422	0.0177	0.0232	0.0082	0.0845
2001	5	2	2	0	0	0	0	0.0000	0.0000	0.0025	0.0025	0.0138	0.0125	0.0289	0.0226	0.0251	0.0301	0.0201	0.0238	0.0301	0.0351	0.0376	0.1016
2002	5	2	2	0	0	0	0	0.0000	0.0009	0.0000	0.0018	0.0035	0.0079	0.0149	0.0271	0.0525	0.0368	0.0280	0.0315	0.0394	0.0438	0.0490	0.1480
2003	5	2	2	0	0	0	0	0.0000	0.0058	0.0039	0.0116	0.0154	0.0232	0.0174	0.0193	0.0232	0.0270	0.0251	0.0425	0.0309	0.0328	0.0328	0.0985
2004	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0015	0.0015	0.0136	0.0287	0.0377	0.0392	0.0287	0.0513	0.0332	0.0407	0.0211	0.0362	0.1131
2005	5	2	2	0	0	0	0	0.0010	0.0058	0.0077	0.0048	0.0086	0.0211	0.0355	0.0499	0.0672	0.0605	0.0259	0.0307	0.0221	0.0192	0.0154	0.0441
2006	5	2	2	0	0	0	0	0.0000	0.0000	0.0008	0.0008	0.0051	0.0093	0.0068	0.0102	0.0153	0.0229	0.0297	0.0306	0.0340	0.0272	0.0178	0.0731
2007	5	2	2	0	0	0	0	0.0000	0.0000	0.0032	0.0016	0.0032	0.0144	0.0265	0.0353	0.0353	0.0369	0.0457	0.0554	0.0514	0.0514	0.0353	0.0899
2008	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0006	0.0068	0.0044	0.0081	0.0168	0.0305	0.0267	0.0267	0.0267	0.0342	0.0199	0.0186	0.0609
2009	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0017	0.0116	0.0232	0.0456	0.0414	0.0257	0.0273	0.0348	0.0423	0.0414	0.0365	0.0779
2010	5	2	2	0	0	0	0	0.0011	0.0011	0.0011	0.0011	0.0044	0.0120	0.0239	0.0316	0.0326	0.0435	0.0598	0.0511	0.0501	0.0424	0.0392	0.0914
2011	5	2	2	0	0	0	0	0.0000	0.0000	0.0045	0.0135	0.0090	0.0067	0.0336	0.0090	0.0224	0.0269	0.0426	0.0448	0.0538	0.0336	0.0404	0.1457
2012	5	2	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0035	0.0318	0.0212	0.0459	0.0141	0.0353	0.0318	0.0283	0.0565	0.0459	0.0318	0.1166
2013	5	2	2	0	0	0	0	0.0021	0.0000	0.0021	0.0000	0.0083	0.0062	0.0248	0.0413	0.0331	0.0393	0.0248	0.0186	0.0227	0.0351	0.0186	0.0847
2014	5	2	2	0	0	0	0	0.0000	0.0000	0.0036	0.0036	0.0036	0.0073	0.0255	0.0182	0.0438	0.0292	0.0292	0.0146	0.0109	0.0146	0.0328	0.1095
2015	5	2	2	0	0	0	0	0.0000	0.0024	0.0024	0.0072	0.0337	0.0288	0.0457	0.0529	0.0313	0.0457	0.0361	0.0361	0.0288	0.0216	0.0216	0.0986
2016	5	2	2	0	0	0	0	0.0000	0.0000	0.0063	0.0047	0.0016	0.0078	0.0094	0.0094	0.0094	0.0251	0.0361	0.0330	0.0361	0.0251	0.0126	0.0691
2017	5	2	2	0	0	0	0	0.0000	0.0000	0.0026	0.0026	0.0166	0.0051	0.0064	0.0026	0.0077	0.0102	0.0102	0.0230	0.0191	0.0166	0.0166	0.0829
2018	5	2	2	0	0	0	0	0.0000	0.0033	0.0066	0.0110	0.0066	0.0110	0.0176	0.0341	0.0165	0.0198	0.0275	0.0286	0.0330	0.0319	0.0374	0.0991

#Tanner	crab	bycatch	Male	(male and female combined compositons are normalized to be 1)							
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec					
1991	5	3	1	0.000	0	0	50	0.0026	0.0049	0.0029	0.0042	0.0052	0.0042	0.0104	0.0143	0.0146	0.0110	0.0159	0.0169	0.0181	0.0269	0.0292	0.0230	0.0211	0.0201	0.0169	0.0249
1992	5	3	1	0.000	0	0	48.25	0.0000	0.0000	0.0010	0.0031	0.0114	0.0166	0.0259	0.0238	0.0259	0.0301	0.0270	0.0270	0.0187	0.0124	0.0145	0.0052	0.0104	0.0135	0.0073	0.0166
1993	5	3	1	0.000	0	0	24.85	0.0000	0.0000	0.0000	0.0000	0.0040	0.0020	0.0261	0.0483	0.0584	0.0664	0.0463	0.0282	0.0261	0.0362	0.0261	0.0221	0.0302	0.0141	0.0101	0.0221
2013	5	3	1	0.000	0	0	40.7	0.0000	0.0012	0.0000	0.0000	0.0000	0.0086	0.0074	0.0135	0.0184	0.0393	0.0197	0.0295	0.0172	0.0197	0.0086	0.0221	0.0123	0.0098	0.0135	0.0270
2014	5	3	1	0.000	0	0	31.85	0.0000	0.0000	0.0016	0.0000	0.0078	0.0078	0.0126	0.0188	0.0157	0.0314	0.0220	0.0267	0.0314	0.0408	0.0408	0.0251	0.0345	0.0251	0.0173	0.0424
2015	5	3	1	0.000	0	0	50	0.0017	0.0038	0.0017	0.0024	0.0180	0.0246	0.0176	0.0114	0.0152	0.0201	0.0215	0.0118	0.0086	0.0066	0.0121	0.0104	0.0135	0.0142	0.0149	0.0211
#Tanner	crab	bycatch	female																								
#Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec	
1991	5	3	2	0	0	0	0	0.0052	0.0107	0.0097	0.0103	0.0243	0.0331	0.0567	0.0463	0.0839	0.1160	0.1134	0.0956	0.0548	0.0269	0.0188	0.0071				
1992	5	3	2	0	0	0	0	0.0000	0.0000	0.0011	0.0062	0.0228	0.0456	0.0818	0.0933	0.0870	0.0539	0.0777	0.0995	0.0653	0.0404	0.0228	0.0124				
1993	5	3	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0040	0.0342	0.0825	0.1127	0.0805	0.0362	0.0403	0.0403	0.0564	0.0262	0.0121	0.0081				
2013	5	3	2	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0221	0.0504	0.1806	0.1437	0.0774	0.0467	0.0553	0.0368	0.0651	0.0234	0.0307				
2014	5	3	2	0	0	0	0	0.0000	0.0000	0.0016	0.0031	0.0110	0.0220	0.0471	0.0550	0.1428	0.1586	0.0581	0.0267	0.0220	0.0110	0.0173	0.0220				
2015	5	3	2	0	0	0	0	0.0004	0.0013	0.0028	0.0052	0.0239	0.0346	0.0637	0.1032	0.1440	0.1115	0.0921	0.0689	0.0374	0.0201	0.0170	0.0228				

# Fixed gear	crab	bycatch	Male																								
#Year	season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec	
1996	5	4	1	0	0	0	39	0.0026	0.0013	0.0066	0.0053	0.0026	0.0053	0.0132	0.0132	0.0079	0.0146	0.0146	0.0079	0.0146	0.0132	0.0106	0.0146	0.0106	0.0066	0.0066	0.0238
1997	5	4	1	0	0	0	50	0.0000	0.0000	0.0024	0.0024	0.0134	0.0284	0.0504	0.0686	0.0654	0.0607	0.0496	0.0315	0.0347	0.0418	0.0315	0.0221	0.0362	0.0441	0.0528	0.1560
1998	5	4	1	0	0	0	50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0019	0.0039	0.0077	0.0125	0.0251	0.0367	0.0521	0.0869	0.0849	0.1052	0.0840	0.0772	0.0666	0.1564
